APIs,TN,FN,FP,TP,Precision,Recall,F1 Score
CONVERT_TEXT_TO_SPEECH,0.0,22.0,0.0,18.0,1.0,0.45,0.62
CREATE_CALENDAR_EVENT,0.0,3.0,18.0,19.0,0.51,0.86,0.64
CREATE_REMINDER,0.0,13.0,7.0,20.0,0.74,0.61,0.67
GENERATE_IMAGE,0.0,28.0,0.0,12.0,1.0,0.3,0.46
GET_CALENDAR_EVENTS,0.0,39.0,0.0,1.0,1.0,0.02,0.05
GET_CURRENT_DATE_AND_TIME,0.0,0.0,36.0,4.0,0.1,1.0,0.18
GET_CURRENT_STOCK_PRICE,0.0,2.0,36.0,2.0,0.05,0.5,0.1
GET_NEWS,0.0,28.0,6.0,6.0,0.5,0.18,0.26
GET_WEATHER,0.0,10.0,2.0,28.0,0.93,0.74,0.82
NOT_AVAILABLE,233.0,0.0,3.0,3.0,0.5,1.0,0.67
SEND_EMAIL,0.0,8.0,0.0,32.0,1.0,0.8,0.89
Cumulative,233.0,153.0,108.0,145.0,0.57,0.49,0.53
