APIs,TN,FN,FP,TP,Precision,Recall,F1 Score
CONVERT_TEXT_TO_SPEECH,0.0,15.0,3.0,2.0,0.4,0.12,0.18
CREATE_CALENDAR_EVENT,0.0,0.0,20.0,0.0,0.0,0.0,0.0
CREATE_REMINDER,0.0,0.0,20.0,0.0,0.0,0.0,0.0
GENERATE_IMAGE,0.0,1.0,19.0,0.0,0.0,0.0,0.0
GET_CALENDAR_EVENTS,2.0,0.0,18.0,0.0,0.0,0.0,0.0
GET_CURRENT_DATE_AND_TIME,0.0,0.0,20.0,0.0,0.0,0.0,0.0
GET_CURRENT_STOCK_PRICE,0.0,0.0,20.0,0.0,0.0,0.0,0.0
GET_NEWS,0.0,0.0,20.0,0.0,0.0,0.0,0.0
GET_WEATHER,0.0,1.0,19.0,0.0,0.0,0.0,0.0
NOT_AVAILABLE,7.0,0.0,18.0,0.0,0.0,0.0,0.0
SEND_EMAIL,0.0,2.0,14.0,3.0,0.18,0.6,0.27
Cumulative,9.0,19.0,191.0,5.0,0.03,0.21,0.05
