llm_model,temperature,system_prompt,user_prompt,score
openai/gpt-4-0613,0,autogptprompt_zeroshot.txt,CONVERT_TEXT_TO_SPEECH.txt - 0,3
openai/gpt-4-0613,0,autogptprompt_zeroshot.txt,CONVERT_TEXT_TO_SPEECH.txt - 1,3
openai/gpt-4-0613,0,autogptprompt_zeroshot.txt,CONVERT_TEXT_TO_SPEECH.txt - 2,3
openai/gpt-4-0613,0,autogptprompt_zeroshot.txt,CONVERT_TEXT_TO_SPEECH.txt - 3,3
openai/gpt-4-0613,0,autogptprompt_zeroshot.txt,CONVERT_TEXT_TO_SPEECH.txt - 4,3
openai/gpt-4-0613,0,autogptprompt_zeroshot.txt,CONVERT_TEXT_TO_SPEECH.txt - 5,3
openai/gpt-4-0613,0,autogptprompt_zeroshot.txt,CONVERT_TEXT_TO_SPEECH.txt - 6,3
openai/gpt-4-0613,0,autogptprompt_zeroshot.txt,CONVERT_TEXT_TO_SPEECH.txt - 7,3
openai/gpt-4-0613,0,autogptprompt_zeroshot.txt,CONVERT_TEXT_TO_SPEECH.txt - 8,3
openai/gpt-4-0613,0,autogptprompt_zeroshot.txt,CONVERT_TEXT_TO_SPEECH.txt - 9,3
openai/gpt-4-0613,0,autogptprompt_zeroshot.txt,CONVERT_TEXT_TO_SPEECH.txt - 10,3
openai/gpt-4-0613,0,autogptprompt_zeroshot.txt,CONVERT_TEXT_TO_SPEECH.txt - 11,3
openai/gpt-4-0613,0,autogptprompt_zeroshot.txt,CONVERT_TEXT_TO_SPEECH.txt - 12,3
openai/gpt-4-0613,0,autogptprompt_zeroshot.txt,CONVERT_TEXT_TO_SPEECH.txt - 13,3
openai/gpt-4-0613,0,autogptprompt_zeroshot.txt,CONVERT_TEXT_TO_SPEECH.txt - 14,3
openai/gpt-4-0613,0,autogptprompt_zeroshot.txt,CONVERT_TEXT_TO_SPEECH.txt - 15,3
openai/gpt-4-0613,0,autogptprompt_zeroshot.txt,CONVERT_TEXT_TO_SPEECH.txt - 16,3
openai/gpt-4-0613,0,autogptprompt_zeroshot.txt,CONVERT_TEXT_TO_SPEECH.txt - 17,3
openai/gpt-4-0613,0,autogptprompt_zeroshot.txt,CONVERT_TEXT_TO_SPEECH.txt - 18,3
openai/gpt-4-0613,0,autogptprompt_zeroshot.txt,CONVERT_TEXT_TO_SPEECH.txt - 19,3
openai/gpt-4-0613,0,autogptprompt_zeroshot.txt,CREATE_CALENDAR_EVENT.txt - 0,3
openai/gpt-4-0613,0,autogptprompt_zeroshot.txt,CREATE_CALENDAR_EVENT.txt - 1,3
openai/gpt-4-0613,0,autogptprompt_zeroshot.txt,CREATE_CALENDAR_EVENT.txt - 2,3
openai/gpt-4-0613,0,autogptprompt_zeroshot.txt,CREATE_CALENDAR_EVENT.txt - 3,3
openai/gpt-4-0613,0,autogptprompt_zeroshot.txt,CREATE_CALENDAR_EVENT.txt - 4,3
openai/gpt-4-0613,0,autogptprompt_zeroshot.txt,CREATE_CALENDAR_EVENT.txt - 5,3
openai/gpt-4-0613,0,autogptprompt_zeroshot.txt,CREATE_CALENDAR_EVENT.txt - 6,2
openai/gpt-4-0613,0,autogptprompt_zeroshot.txt,CREATE_CALENDAR_EVENT.txt - 7,2
openai/gpt-4-0613,0,autogptprompt_zeroshot.txt,CREATE_CALENDAR_EVENT.txt - 8,2
