llm_model,temperature,system_prompt,user_prompt,score
upstage/Llama-2-70b-instruct-v2,0,aigenerated_5.txt,CONVERT_TEXT_TO_SPEECH.txt - 0,3
upstage/Llama-2-70b-instruct-v2,0,aigenerated_5.txt,CONVERT_TEXT_TO_SPEECH.txt - 1,1
upstage/Llama-2-70b-instruct-v2,0,aigenerated_5.txt,CONVERT_TEXT_TO_SPEECH.txt - 2,2
upstage/Llama-2-70b-instruct-v2,0,aigenerated_5.txt,CONVERT_TEXT_TO_SPEECH.txt - 3,1
upstage/Llama-2-70b-instruct-v2,0,aigenerated_5.txt,CONVERT_TEXT_TO_SPEECH.txt - 4,1
upstage/Llama-2-70b-instruct-v2,0,aigenerated_5.txt,CONVERT_TEXT_TO_SPEECH.txt - 5,1
upstage/Llama-2-70b-instruct-v2,0,aigenerated_5.txt,CONVERT_TEXT_TO_SPEECH.txt - 6,1
upstage/Llama-2-70b-instruct-v2,0,aigenerated_5.txt,CONVERT_TEXT_TO_SPEECH.txt - 7,1
upstage/Llama-2-70b-instruct-v2,0,aigenerated_5.txt,CONVERT_TEXT_TO_SPEECH.txt - 8,1
upstage/Llama-2-70b-instruct-v2,0,aigenerated_5.txt,CONVERT_TEXT_TO_SPEECH.txt - 9,1
upstage/Llama-2-70b-instruct-v2,0,aigenerated_5.txt,CONVERT_TEXT_TO_SPEECH.txt - 10,1
upstage/Llama-2-70b-instruct-v2,0,aigenerated_5.txt,CONVERT_TEXT_TO_SPEECH.txt - 11,1
upstage/Llama-2-70b-instruct-v2,0,aigenerated_5.txt,CONVERT_TEXT_TO_SPEECH.txt - 12,2
upstage/Llama-2-70b-instruct-v2,0,aigenerated_5.txt,CONVERT_TEXT_TO_SPEECH.txt - 13,1
upstage/Llama-2-70b-instruct-v2,0,aigenerated_5.txt,CONVERT_TEXT_TO_SPEECH.txt - 14,3
upstage/Llama-2-70b-instruct-v2,0,aigenerated_5.txt,CONVERT_TEXT_TO_SPEECH.txt - 15,1
upstage/Llama-2-70b-instruct-v2,0,aigenerated_5.txt,CONVERT_TEXT_TO_SPEECH.txt - 16,2
upstage/Llama-2-70b-instruct-v2,0,aigenerated_5.txt,CONVERT_TEXT_TO_SPEECH.txt - 17,1
upstage/Llama-2-70b-instruct-v2,0,aigenerated_5.txt,CONVERT_TEXT_TO_SPEECH.txt - 18,1
upstage/Llama-2-70b-instruct-v2,0,aigenerated_5.txt,CONVERT_TEXT_TO_SPEECH.txt - 19,1
upstage/Llama-2-70b-instruct-v2,0,aigenerated_5.txt,CREATE_CALENDAR_EVENT.txt - 0,2
upstage/Llama-2-70b-instruct-v2,0,aigenerated_5.txt,CREATE_CALENDAR_EVENT.txt - 1,2
upstage/Llama-2-70b-instruct-v2,0,aigenerated_5.txt,CREATE_CALENDAR_EVENT.txt - 2,2
upstage/Llama-2-70b-instruct-v2,0,aigenerated_5.txt,CREATE_CALENDAR_EVENT.txt - 3,2
upstage/Llama-2-70b-instruct-v2,0,aigenerated_5.txt,CREATE_CALENDAR_EVENT.txt - 4,2
upstage/Llama-2-70b-instruct-v2,0,aigenerated_5.txt,CREATE_CALENDAR_EVENT.txt - 5,2
upstage/Llama-2-70b-instruct-v2,0,aigenerated_5.txt,CREATE_CALENDAR_EVENT.txt - 6,2
upstage/Llama-2-70b-instruct-v2,0,aigenerated_5.txt,CREATE_CALENDAR_EVENT.txt - 7,2
upstage/Llama-2-70b-instruct-v2,0,aigenerated_5.txt,CREATE_CALENDAR_EVENT.txt - 8,2
upstage/Llama-2-70b-instruct-v2,0,aigenerated_5.txt,CREATE_CALENDAR_EVENT.txt - 9,2
upstage/Llama-2-70b-instruct-v2,0,aigenerated_5.txt,CREATE_CALENDAR_EVENT.txt - 10,2
upstage/Llama-2-70b-instruct-v2,0,aigenerated_5.txt,CREATE_CALENDAR_EVENT.txt - 11,2
upstage/Llama-2-70b-instruct-v2,0,aigenerated_5.txt,CREATE_CALENDAR_EVENT.txt - 12,2
upstage/Llama-2-70b-instruct-v2,0,aigenerated_5.txt,CREATE_CALENDAR_EVENT.txt - 13,2
upstage/Llama-2-70b-instruct-v2,0,aigenerated_5.txt,CREATE_CALENDAR_EVENT.txt - 14,2
upstage/Llama-2-70b-instruct-v2,0,aigenerated_5.txt,CREATE_CALENDAR_EVENT.txt - 15,2
upstage/Llama-2-70b-instruct-v2,0,aigenerated_5.txt,CREATE_CALENDAR_EVENT.txt - 16,2
upstage/Llama-2-70b-instruct-v2,0,aigenerated_5.txt,CREATE_CALENDAR_EVENT.txt - 17,2
upstage/Llama-2-70b-instruct-v2,0,aigenerated_5.txt,CREATE_CALENDAR_EVENT.txt - 18,2
upstage/Llama-2-70b-instruct-v2,0,aigenerated_5.txt,CREATE_CALENDAR_EVENT.txt - 19,2
upstage/Llama-2-70b-instruct-v2,0,aigenerated_5.txt,CREATE_REMINDER.txt - 0,2
upstage/Llama-2-70b-instruct-v2,0,aigenerated_5.txt,CREATE_REMINDER.txt - 1,2
upstage/Llama-2-70b-instruct-v2,0,aigenerated_5.txt,CREATE_REMINDER.txt - 2,2
upstage/Llama-2-70b-instruct-v2,0,aigenerated_5.txt,CREATE_REMINDER.txt - 3,2
upstage/Llama-2-70b-instruct-v2,0,aigenerated_5.txt,CREATE_REMINDER.txt - 4,2
upstage/Llama-2-70b-instruct-v2,0,aigenerated_5.txt,CREATE_REMINDER.txt - 5,2
upstage/Llama-2-70b-instruct-v2,0,aigenerated_5.txt,CREATE_REMINDER.txt - 6,2
upstage/Llama-2-70b-instruct-v2,0,aigenerated_5.txt,CREATE_REMINDER.txt - 7,2
upstage/Llama-2-70b-instruct-v2,0,aigenerated_5.txt,CREATE_REMINDER.txt - 8,2
upstage/Llama-2-70b-instruct-v2,0,aigenerated_5.txt,CREATE_REMINDER.txt - 9,2
upstage/Llama-2-70b-instruct-v2,0,aigenerated_5.txt,CREATE_REMINDER.txt - 10,2
upstage/Llama-2-70b-instruct-v2,0,aigenerated_5.txt,CREATE_REMINDER.txt - 11,2
upstage/Llama-2-70b-instruct-v2,0,aigenerated_5.txt,CREATE_REMINDER.txt - 12,2
upstage/Llama-2-70b-instruct-v2,0,aigenerated_5.txt,CREATE_REMINDER.txt - 13,2
upstage/Llama-2-70b-instruct-v2,0,aigenerated_5.txt,CREATE_REMINDER.txt - 14,2
upstage/Llama-2-70b-instruct-v2,0,aigenerated_5.txt,CREATE_REMINDER.txt - 15,2
upstage/Llama-2-70b-instruct-v2,0,aigenerated_5.txt,CREATE_REMINDER.txt - 16,2
upstage/Llama-2-70b-instruct-v2,0,aigenerated_5.txt,CREATE_REMINDER.txt - 17,2
upstage/Llama-2-70b-instruct-v2,0,aigenerated_5.txt,CREATE_REMINDER.txt - 18,2
upstage/Llama-2-70b-instruct-v2,0,aigenerated_5.txt,CREATE_REMINDER.txt - 19,2
upstage/Llama-2-70b-instruct-v2,0,aigenerated_5.txt,GENERATE_IMAGE.txt - 0,2
upstage/Llama-2-70b-instruct-v2,0,aigenerated_5.txt,GENERATE_IMAGE.txt - 1,2
upstage/Llama-2-70b-instruct-v2,0,aigenerated_5.txt,GENERATE_IMAGE.txt - 2,2
upstage/Llama-2-70b-instruct-v2,0,aigenerated_5.txt,GENERATE_IMAGE.txt - 3,2
upstage/Llama-2-70b-instruct-v2,0,aigenerated_5.txt,GENERATE_IMAGE.txt - 4,2
upstage/Llama-2-70b-instruct-v2,0,aigenerated_5.txt,GENERATE_IMAGE.txt - 5,2
upstage/Llama-2-70b-instruct-v2,0,aigenerated_5.txt,GENERATE_IMAGE.txt - 6,2
upstage/Llama-2-70b-instruct-v2,0,aigenerated_5.txt,GENERATE_IMAGE.txt - 7,2
upstage/Llama-2-70b-instruct-v2,0,aigenerated_5.txt,GENERATE_IMAGE.txt - 8,2
upstage/Llama-2-70b-instruct-v2,0,aigenerated_5.txt,GENERATE_IMAGE.txt - 9,2
upstage/Llama-2-70b-instruct-v2,0,aigenerated_5.txt,GENERATE_IMAGE.txt - 10,1
upstage/Llama-2-70b-instruct-v2,0,aigenerated_5.txt,GENERATE_IMAGE.txt - 11,2
upstage/Llama-2-70b-instruct-v2,0,aigenerated_5.txt,GENERATE_IMAGE.txt - 12,2
upstage/Llama-2-70b-instruct-v2,0,aigenerated_5.txt,GENERATE_IMAGE.txt - 13,2
upstage/Llama-2-70b-instruct-v2,0,aigenerated_5.txt,GENERATE_IMAGE.txt - 14,2
