llm_model,temperature,system_prompt,user_prompt,score
openai/gpt-4-0613,0,aigenerated_13.txt,CONVERT_TEXT_TO_SPEECH.txt - 0,3
openai/gpt-4-0613,0,aigenerated_13.txt,CONVERT_TEXT_TO_SPEECH.txt - 1,3
openai/gpt-4-0613,0,aigenerated_13.txt,CONVERT_TEXT_TO_SPEECH.txt - 2,3
openai/gpt-4-0613,0,aigenerated_13.txt,CONVERT_TEXT_TO_SPEECH.txt - 3,3
openai/gpt-4-0613,0,aigenerated_13.txt,CONVERT_TEXT_TO_SPEECH.txt - 4,3
openai/gpt-4-0613,0,aigenerated_13.txt,CONVERT_TEXT_TO_SPEECH.txt - 5,3
openai/gpt-4-0613,0,aigenerated_13.txt,CONVERT_TEXT_TO_SPEECH.txt - 6,3
openai/gpt-4-0613,0,aigenerated_13.txt,CONVERT_TEXT_TO_SPEECH.txt - 7,3
openai/gpt-4-0613,0,aigenerated_13.txt,CONVERT_TEXT_TO_SPEECH.txt - 8,3
openai/gpt-4-0613,0,aigenerated_13.txt,CONVERT_TEXT_TO_SPEECH.txt - 9,3
openai/gpt-4-0613,0,aigenerated_13.txt,CONVERT_TEXT_TO_SPEECH.txt - 10,3
openai/gpt-4-0613,0,aigenerated_13.txt,CONVERT_TEXT_TO_SPEECH.txt - 11,3
openai/gpt-4-0613,0,aigenerated_13.txt,CONVERT_TEXT_TO_SPEECH.txt - 12,3
openai/gpt-4-0613,0,aigenerated_13.txt,CONVERT_TEXT_TO_SPEECH.txt - 13,3
openai/gpt-4-0613,0,aigenerated_13.txt,CONVERT_TEXT_TO_SPEECH.txt - 14,3
openai/gpt-4-0613,0,aigenerated_13.txt,CONVERT_TEXT_TO_SPEECH.txt - 15,3
openai/gpt-4-0613,0,aigenerated_13.txt,CONVERT_TEXT_TO_SPEECH.txt - 16,3
openai/gpt-4-0613,0,aigenerated_13.txt,CONVERT_TEXT_TO_SPEECH.txt - 17,3
openai/gpt-4-0613,0,aigenerated_13.txt,CONVERT_TEXT_TO_SPEECH.txt - 18,3
openai/gpt-4-0613,0,aigenerated_13.txt,CONVERT_TEXT_TO_SPEECH.txt - 19,3
openai/gpt-4-0613,0,aigenerated_13.txt,CREATE_CALENDAR_EVENT.txt - 0,3
openai/gpt-4-0613,0,aigenerated_13.txt,CREATE_CALENDAR_EVENT.txt - 1,3
openai/gpt-4-0613,0,aigenerated_13.txt,CREATE_CALENDAR_EVENT.txt - 2,3
openai/gpt-4-0613,0,aigenerated_13.txt,CREATE_CALENDAR_EVENT.txt - 3,3
openai/gpt-4-0613,0,aigenerated_13.txt,CREATE_CALENDAR_EVENT.txt - 4,3
openai/gpt-4-0613,0,aigenerated_13.txt,CREATE_CALENDAR_EVENT.txt - 5,3
openai/gpt-4-0613,0,aigenerated_13.txt,CREATE_CALENDAR_EVENT.txt - 6,3
openai/gpt-4-0613,0,aigenerated_13.txt,CREATE_CALENDAR_EVENT.txt - 7,3
openai/gpt-4-0613,0,aigenerated_13.txt,CREATE_CALENDAR_EVENT.txt - 8,3
openai/gpt-4-0613,0,aigenerated_13.txt,CREATE_CALENDAR_EVENT.txt - 9,2
openai/gpt-4-0613,0,aigenerated_13.txt,CREATE_CALENDAR_EVENT.txt - 10,2
openai/gpt-4-0613,0,aigenerated_13.txt,CREATE_CALENDAR_EVENT.txt - 11,2
openai/gpt-4-0613,0,aigenerated_13.txt,CREATE_CALENDAR_EVENT.txt - 12,3
openai/gpt-4-0613,0,aigenerated_13.txt,CREATE_CALENDAR_EVENT.txt - 13,2
openai/gpt-4-0613,0,aigenerated_13.txt,CREATE_CALENDAR_EVENT.txt - 14,2
openai/gpt-4-0613,0,aigenerated_13.txt,CREATE_CALENDAR_EVENT.txt - 15,2
openai/gpt-4-0613,0,aigenerated_13.txt,CREATE_CALENDAR_EVENT.txt - 16,2
openai/gpt-4-0613,0,aigenerated_13.txt,CREATE_CALENDAR_EVENT.txt - 17,3
openai/gpt-4-0613,0,aigenerated_13.txt,CREATE_CALENDAR_EVENT.txt - 18,2
openai/gpt-4-0613,0,aigenerated_13.txt,CREATE_CALENDAR_EVENT.txt - 19,2
openai/gpt-4-0613,0,aigenerated_13.txt,CREATE_REMINDER.txt - 0,3
openai/gpt-4-0613,0,aigenerated_13.txt,CREATE_REMINDER.txt - 1,3
openai/gpt-4-0613,0,aigenerated_13.txt,CREATE_REMINDER.txt - 2,3
openai/gpt-4-0613,0,aigenerated_13.txt,CREATE_REMINDER.txt - 3,3
openai/gpt-4-0613,0,aigenerated_13.txt,CREATE_REMINDER.txt - 4,3
openai/gpt-4-0613,0,aigenerated_13.txt,CREATE_REMINDER.txt - 5,3
openai/gpt-4-0613,0,aigenerated_13.txt,CREATE_REMINDER.txt - 6,3
openai/gpt-4-0613,0,aigenerated_13.txt,CREATE_REMINDER.txt - 7,3
openai/gpt-4-0613,0,aigenerated_13.txt,CREATE_REMINDER.txt - 8,3
openai/gpt-4-0613,0,aigenerated_13.txt,CREATE_REMINDER.txt - 9,3
openai/gpt-4-0613,0,aigenerated_13.txt,CREATE_REMINDER.txt - 10,3
openai/gpt-4-0613,0,aigenerated_13.txt,CREATE_REMINDER.txt - 11,3
openai/gpt-4-0613,0,aigenerated_13.txt,CREATE_REMINDER.txt - 12,3
openai/gpt-4-0613,0,aigenerated_13.txt,CREATE_REMINDER.txt - 13,3
openai/gpt-4-0613,0,aigenerated_13.txt,CREATE_REMINDER.txt - 14,3
openai/gpt-4-0613,0,aigenerated_13.txt,CREATE_REMINDER.txt - 15,3
openai/gpt-4-0613,0,aigenerated_13.txt,CREATE_REMINDER.txt - 16,3
openai/gpt-4-0613,0,aigenerated_13.txt,CREATE_REMINDER.txt - 17,3
openai/gpt-4-0613,0,aigenerated_13.txt,CREATE_REMINDER.txt - 18,3
openai/gpt-4-0613,0,aigenerated_13.txt,CREATE_REMINDER.txt - 19,3
openai/gpt-4-0613,0,aigenerated_13.txt,GENERATE_IMAGE.txt - 0,3
openai/gpt-4-0613,0,aigenerated_13.txt,GENERATE_IMAGE.txt - 1,3
openai/gpt-4-0613,0,aigenerated_13.txt,GENERATE_IMAGE.txt - 2,3
openai/gpt-4-0613,0,aigenerated_13.txt,GENERATE_IMAGE.txt - 3,3
openai/gpt-4-0613,0,aigenerated_13.txt,GENERATE_IMAGE.txt - 4,3
openai/gpt-4-0613,0,aigenerated_13.txt,GENERATE_IMAGE.txt - 5,3
openai/gpt-4-0613,0,aigenerated_13.txt,GENERATE_IMAGE.txt - 6,3
