llm_model,temperature,system_prompt,user_prompt,score
upstage/Llama-2-70b-instruct-v2,0,aigenerated_13.txt,CONVERT_TEXT_TO_SPEECH.txt - 0,2
upstage/Llama-2-70b-instruct-v2,0,aigenerated_13.txt,CONVERT_TEXT_TO_SPEECH.txt - 1,2
upstage/Llama-2-70b-instruct-v2,0,aigenerated_13.txt,CONVERT_TEXT_TO_SPEECH.txt - 2,2
upstage/Llama-2-70b-instruct-v2,0,aigenerated_13.txt,CONVERT_TEXT_TO_SPEECH.txt - 3,2
upstage/Llama-2-70b-instruct-v2,0,aigenerated_13.txt,CONVERT_TEXT_TO_SPEECH.txt - 4,2
upstage/Llama-2-70b-instruct-v2,0,aigenerated_13.txt,CONVERT_TEXT_TO_SPEECH.txt - 5,2
upstage/Llama-2-70b-instruct-v2,0,aigenerated_13.txt,CONVERT_TEXT_TO_SPEECH.txt - 6,2
upstage/Llama-2-70b-instruct-v2,0,aigenerated_13.txt,CONVERT_TEXT_TO_SPEECH.txt - 7,2
upstage/Llama-2-70b-instruct-v2,0,aigenerated_13.txt,CONVERT_TEXT_TO_SPEECH.txt - 8,2
upstage/Llama-2-70b-instruct-v2,0,aigenerated_13.txt,CONVERT_TEXT_TO_SPEECH.txt - 9,2
upstage/Llama-2-70b-instruct-v2,0,aigenerated_13.txt,CONVERT_TEXT_TO_SPEECH.txt - 10,2
upstage/Llama-2-70b-instruct-v2,0,aigenerated_13.txt,CONVERT_TEXT_TO_SPEECH.txt - 11,2
upstage/Llama-2-70b-instruct-v2,0,aigenerated_13.txt,CONVERT_TEXT_TO_SPEECH.txt - 12,2
upstage/Llama-2-70b-instruct-v2,0,aigenerated_13.txt,CONVERT_TEXT_TO_SPEECH.txt - 13,2
upstage/Llama-2-70b-instruct-v2,0,aigenerated_13.txt,CONVERT_TEXT_TO_SPEECH.txt - 14,2
