llm_model,temperature,system_prompt,user_prompt,score
openai/gpt-4,0,sparksofagi.txt,send_email.txt - 0,3
openai/gpt-4,0,sparksofagi.txt,send_email.txt - 1,2
openai/gpt-4,0,sparksofagi.txt,send_email.txt - 2,3
openai/gpt-4,0,sparksofagi.txt,send_email.txt - 3,2
openai/gpt-4,0,sparksofagi.txt,send_email.txt - 4,3
openai/gpt-4,0,sparksofagi.txt,send_email.txt - 5,3
openai/gpt-4,0,sparksofagi.txt,send_email.txt - 6,3
openai/gpt-4,0,sparksofagi.txt,send_email.txt - 7,3
openai/gpt-4,0,sparksofagi.txt,send_email.txt - 8,3
openai/gpt-4,0,sparksofagi.txt,send_email.txt - 9,3
openai/gpt-4,0,sparksofagi.txt,send_email.txt - 10,3
openai/gpt-4,0,sparksofagi.txt,send_email.txt - 11,3
openai/gpt-4,0,sparksofagi.txt,send_email.txt - 12,3
openai/gpt-4,0,sparksofagi.txt,send_email.txt - 13,3
openai/gpt-4,0,sparksofagi.txt,send_email.txt - 14,3
openai/gpt-4,0,sparksofagi.txt,send_email.txt - 15,3
openai/gpt-4,0,sparksofagi.txt,send_email.txt - 16,3
openai/gpt-4,0,sparksofagi.txt,send_email.txt - 17,3
openai/gpt-4,0,sparksofagi.txt,send_email.txt - 18,3
openai/gpt-4,0,sparksofagi.txt,send_email.txt - 19,3
openai/gpt-4,0,sparksofagi.txt,send_email.txt - 20,2
openai/gpt-4,0,sparksofagi.txt,send_email.txt - 21,2
openai/gpt-4,0,sparksofagi.txt,send_email.txt - 22,2
openai/gpt-4,0,sparksofagi.txt,send_email.txt - 23,2
openai/gpt-4,0,sparksofagi.txt,send_email.txt - 24,2
openai/gpt-4,0,sparksofagi.txt,send_email.txt - 25,2
openai/gpt-4,0,sparksofagi.txt,send_email.txt - 26,2
openai/gpt-4,0,sparksofagi.txt,send_email.txt - 27,2
openai/gpt-4,0,sparksofagi.txt,send_email.txt - 28,3
openai/gpt-4,0,sparksofagi.txt,send_email.txt - 29,3
openai/gpt-4,0,sparksofagi.txt,send_email.txt - 30,2
