APIs,TN,FN,FP,TP,Precision,Recall,F1 Score
CONVERT_TEXT_TO_SPEECH,0.0,0.0,0.0,0.0,0.0,0.0,0.0
CREATE_CALENDAR_EVENT,0.0,0.0,0.0,0.0,0.0,0.0,0.0
CREATE_REMINDER,0.0,0.0,0.0,0.0,0.0,0.0,0.0
GENERATE_IMAGE,0.0,0.0,0.0,0.0,0.0,0.0,0.0
GET_CALENDAR_EVENTS,0.0,0.0,0.0,0.0,0.0,0.0,0.0
GET_CURRENT_DATE_AND_TIME,0.0,0.0,0.0,0.0,0.0,0.0,0.0
GET_CURRENT_STOCK_PRICE,0.0,0.0,0.0,0.0,0.0,0.0,0.0
GET_NEWS,0.0,0.0,0.0,0.0,0.0,0.0,0.0
GET_WEATHER,0.0,0.0,0.0,0.0,0.0,0.0,0.0
NOT_AVAILABLE,0.0,0.0,0.0,0.0,0.0,0.0,0.0
SEND_EMAIL,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Cumulative,0.0,0.0,0.0,0.0,0.0,0.0,0.0
