llm_model,temperature,system_prompt,user_prompt,score
upstage/Llama-2-70b-instruct-v2,0,aigenerated_13.txt,CREATE_CALENDAR_EVENT.txt - 0,2
upstage/Llama-2-70b-instruct-v2,0,aigenerated_13.txt,CREATE_CALENDAR_EVENT.txt - 1,2
upstage/Llama-2-70b-instruct-v2,0,aigenerated_13.txt,CREATE_CALENDAR_EVENT.txt - 2,2
upstage/Llama-2-70b-instruct-v2,0,aigenerated_13.txt,CREATE_CALENDAR_EVENT.txt - 3,2
upstage/Llama-2-70b-instruct-v2,0,aigenerated_13.txt,CREATE_CALENDAR_EVENT.txt - 4,2
upstage/Llama-2-70b-instruct-v2,0,aigenerated_13.txt,CREATE_CALENDAR_EVENT.txt - 5,2
upstage/Llama-2-70b-instruct-v2,0,aigenerated_13.txt,CREATE_CALENDAR_EVENT.txt - 6,2
upstage/Llama-2-70b-instruct-v2,0,aigenerated_13.txt,CREATE_CALENDAR_EVENT.txt - 7,2
upstage/Llama-2-70b-instruct-v2,0,aigenerated_13.txt,CREATE_CALENDAR_EVENT.txt - 8,2
upstage/Llama-2-70b-instruct-v2,0,aigenerated_13.txt,CREATE_CALENDAR_EVENT.txt - 9,2
upstage/Llama-2-70b-instruct-v2,0,aigenerated_13.txt,CREATE_CALENDAR_EVENT.txt - 10,2
upstage/Llama-2-70b-instruct-v2,0,aigenerated_13.txt,CREATE_CALENDAR_EVENT.txt - 11,2
upstage/Llama-2-70b-instruct-v2,0,aigenerated_13.txt,CREATE_CALENDAR_EVENT.txt - 12,2
upstage/Llama-2-70b-instruct-v2,0,aigenerated_13.txt,CREATE_CALENDAR_EVENT.txt - 13,1
upstage/Llama-2-70b-instruct-v2,0,aigenerated_13.txt,CREATE_CALENDAR_EVENT.txt - 14,2
upstage/Llama-2-70b-instruct-v2,0,aigenerated_13.txt,CREATE_CALENDAR_EVENT.txt - 15,2
upstage/Llama-2-70b-instruct-v2,0,aigenerated_13.txt,CREATE_CALENDAR_EVENT.txt - 16,2
upstage/Llama-2-70b-instruct-v2,0,aigenerated_13.txt,CREATE_CALENDAR_EVENT.txt - 17,2
upstage/Llama-2-70b-instruct-v2,0,aigenerated_13.txt,CREATE_CALENDAR_EVENT.txt - 18,2
upstage/Llama-2-70b-instruct-v2,0,aigenerated_13.txt,CREATE_CALENDAR_EVENT.txt - 19,2
upstage/Llama-2-70b-instruct-v2,0,aigenerated_13.txt,CREATE_REMINDER.txt - 0,2
upstage/Llama-2-70b-instruct-v2,0,aigenerated_13.txt,CREATE_REMINDER.txt - 1,2
upstage/Llama-2-70b-instruct-v2,0,aigenerated_13.txt,CREATE_REMINDER.txt - 2,2
upstage/Llama-2-70b-instruct-v2,0,aigenerated_13.txt,CREATE_REMINDER.txt - 3,2
upstage/Llama-2-70b-instruct-v2,0,aigenerated_13.txt,CREATE_REMINDER.txt - 4,2
upstage/Llama-2-70b-instruct-v2,0,aigenerated_13.txt,CREATE_REMINDER.txt - 5,2
upstage/Llama-2-70b-instruct-v2,0,aigenerated_13.txt,CREATE_REMINDER.txt - 6,2
upstage/Llama-2-70b-instruct-v2,0,aigenerated_13.txt,CREATE_REMINDER.txt - 7,2
upstage/Llama-2-70b-instruct-v2,0,aigenerated_13.txt,CREATE_REMINDER.txt - 8,2
upstage/Llama-2-70b-instruct-v2,0,aigenerated_13.txt,CREATE_REMINDER.txt - 9,2
upstage/Llama-2-70b-instruct-v2,0,aigenerated_13.txt,CREATE_REMINDER.txt - 10,2
upstage/Llama-2-70b-instruct-v2,0,aigenerated_13.txt,CREATE_REMINDER.txt - 11,2
upstage/Llama-2-70b-instruct-v2,0,aigenerated_13.txt,CREATE_REMINDER.txt - 12,2
upstage/Llama-2-70b-instruct-v2,0,aigenerated_13.txt,CREATE_REMINDER.txt - 13,2
upstage/Llama-2-70b-instruct-v2,0,aigenerated_13.txt,CREATE_REMINDER.txt - 14,2
upstage/Llama-2-70b-instruct-v2,0,aigenerated_13.txt,CREATE_REMINDER.txt - 15,2
